Formal_Name_and_Room,closet_Bluephone,Latitude,Longitude,distance
Blue Phone 44 IK Barber 3rd Floor Wall Unit,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,87.78280466714641
Blue Phone 45 IK Barber 4th Floor Wall Unit,Blue Phone 07 Hennings @ East Mall & Agricultural Road,49.26697,-123.25183,87.78280466714641
Blue Phone 46 Vantage College Agronomy & West Mall,Blue Phone 13 Ritsumeikan @ West Mall at Ritsumeikan,49.26008,-123.25207,87.8449871909675
Blue Phone 47 Fraser River Parkade North Entrance Level 1,Blue Phone 50 Fraser River Parkade North East Level 2,49.26627,-123.25786,3.663715356137812
Blue Phone 48 Fraser River Parkade South West Level 1,Blue Phone 24 Nitobe Garden @ Memorial Rd & Lower Mall,49.26612,-123.25867,56.939735159121554
Blue Phone 49 Fraser River Parkade South East Level 1,Blue Phone 50 Fraser River Parkade North East Level 2,49.26627,-123.25786,45.123973049996756
Blue Phone 50 Fraser River Parkade North East Level 2,Blue Phone 47 Fraser River Parkade North Entrance Level 1,49.26625,-123.2579,3.663715356137812
Blue Phone 51 Health Sciences Parkade South East Ground Level,Blue Phone 35 CEME East Mall & Applied Science Lane,49.2631,-123.2484,56.9305663097431
Blue Phone 52 Health Sciences Parkade South West Ground Level,Blue Phone 35 CEME East Mall & Applied Science Lane,49.2631,-123.2484,56.9305663097431
Blue Phone 53 Health Sciences Parkade North East Bottom Level,Blue Phone 35 CEME East Mall & Applied Science Lane,49.2631,-123.2484,56.9305663097431
Blue Phone 54 Health Sciences Parkade North West Roof Top Level 5,Blue Phone 35 CEME East Mall & Applied Science Lane,49.2631,-123.2484,56.9305663097431
Blue Phone 56 North Parkade South East Level 3,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 57 North Parkade South Entrance Level 3,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 58 North Parkade South Exit Level 2,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 59 North Parkade North West Level 2,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 60 North Parkade North East Level 3,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 61 North Parkade South Side Rooftop Level 8,Blue Phone 08 North Parkade @ Student Union Plaza,49.26847,-123.25109,54.34680549740137
Blue Phone 62 Rose Garden Parkade Elevator Level 5,Blue Phone 01 ANSOC @ Northwest Marine Drive,49.26973,-123.25721,55.42413500175715
Blue Phone 63 Rose Garden Parkade Elevator Level 4,Blue Phone 01 ANSOC @ Northwest Marine Drive,49.26973,-123.25721,55.42413500175715
Blue Phone 64 Rose Garden Parkade Elevator Level 3,Blue Phone 01 ANSOC @ Northwest Marine Drive,49.26973,-123.25721,55.42413500175715
Blue Phone 65 Rose Garden Parkade Elevator Level 2,Blue Phone 01 ANSOC @ Northwest Marine Drive,49.26973,-123.25721,55.42413500175715
Blue Phone 66 Rose Garden Parkade Elevator Level 1,Blue Phone 01 ANSOC @ Northwest Marine Drive,49.26973,-123.25721,55.42413500175715
Blue Phone 67 Thunderbird Parkade North West Level 1,Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird,49.26165,-123.24189,83.24595118659444
Blue Phone 68 Thunderbird Parkade West Level 1,Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird,49.26165,-123.24189,83.24595118659444
Blue Phone 69 Thunderbird Parkade South East Level 1,Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird,49.26165,-123.24189,83.24595118659444
Blue Phone 70 Thunderbird Parkade North East Level 1,Blue Phone 32 TBIRD Parkade @ West Mall & Thunderbird,49.26165,-123.24189,83.24595118659444
Blue Phone 71 West Parkade North West Entrance Level 1,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 72 West Parkade South Level 2,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 73 West Parkade North Level 2,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 74 West Parkade North East Level 4,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 75 West Parkade South East Level 4,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 76 West Parkade North Rooftop Level 11,Blue Phone 25 St. John's @ Lower Mall & University Blvd.,49.26331,-123.25635,89.30058336797676
Blue Phone 77 Fairview Crescent & Osoyoos Crescent,Blue Phone 78 Osoyoos Crescent & Oyama Court,49.26072,-123.2382,198.38064120158887
Blue Phone 78 Osoyoos Crescent & Oyama Court,Blue Phone 79 Point Grey Apartments,49.25961,-123.23727,140.79087555857794
Blue Phone 79 Point Grey Apartments,Blue Phone 78 Osoyoos Crescent & Oyama Court,49.26072,-123.2382,140.79087555857794
Blue Phone 80 Osoyoos Crescent & Acadia Park Lane,Blue Phone 79 Point Grey Apartments,49.25961,-123.23727,149.3700543826124
Blue Phone 81 University Blvd Lot Stairs 1,Blue Phone 82 University Blvd Lot Stairs 2,49.26662,-123.24912,10.032501364767866
Blue Phone 82 University Blvd Lot Stairs 2,Blue Phone 81 University Blvd Lot Stairs 1,49.26659,-123.24925,10.032501364767866
Blue Phone 83 University Blvd Lot Stairs 3,Blue Phone 81 University Blvd Lot Stairs 1,49.26659,-123.24925,10.032501364767866
Blue Phone 84 University Blvd Lot Stairs 4,Blue Phone 81 University Blvd Lot Stairs 1,49.26659,-123.24925,10.032501364767866
Blue Phone 55 Health Science Pkd Rooftop Level 5,Blue Phone 35 CEME East Mall & Applied Science Lane,49.2631,-123.2484,56.9305663097431
Blue Phone 85 Saltwater Orca House,Blue Phone 56 North Parkade South East Level 3,49.26895,-123.25095,92.94444610340688
Blue Phone 86 Saltwater Sturgeon House,Blue Phone 87,49.26927,-123.248,42.88441156150479
Blue Phone 87,Blue Phone 86 Saltwater Sturgeon House,49.26915,-123.24856,42.88441156150479
Blue Phone 88,Blue Phone 89,49.27075,-123.24798,80.77665730552232
Blue Phone 89,Blue Phone 88,49.27007,-123.24837,80.77665730552232
